날짜,검사수,검사수 증가량,영업 제한 시각,평균기온(°C),일강수량(mm),Won
20210330,0.2929408423610382,0.6603422085924736,0.16666666666666652,0.5515021459227468,0.0,0.20811786552977996
20210331,0.2967206000461327,0.6049124416038519,0.16666666666666652,0.6309012875536482,0.0,0.07552143335617076
20210401,0.30012946668922963,0.5433206270958126,0.16666666666666652,0.6995708154506437,0.0,0.11454219613019603
20210402,0.3036668249008548,0.5646585079246796,0.16666666666666652,0.701716738197425,0.0,0.07648426735351878
20210403,0.3072312793868372,0.5691582356481614,0.16666666666666652,0.6394849785407726,0.7260981912144703,0.0
20210404,0.30894637000100705,0.2620446533490012,0.16666666666666652,0.5751072961373391,0.007751937984496123,0.0
20210405,0.3106156385715983,0.25443524117967387,0.16666666666666652,0.5751072961373391,0.0,0.0986271604636862
20210406,0.3151434777930067,0.7291421856639247,0.16666666666666652,0.6180257510729614,0.0,0.08214606695282115
20210407,0.31901608767940176,0.6203318907454644,0.16666666666666652,0.6223175965665236,0.0,0.07709233288116249
20210408,0.32300752422117845,0.6400647731506691,0.16666666666666652,0.5987124463519313,0.0,0.37168749246593846
20210409,0.3270367574768674,0.646341463414634,0.16666666666666652,0.6115879828326181,0.0,0.06436949632032618
20210410,0.3311371831731446,0.6581639964460748,0.16666666666666652,0.5901287553648069,0.0,0.0
20210411,0.3331134853238726,0.3054226018170875,0.16666666666666652,0.6416309012875536,0.0,0.0
20210412,0.33511990403431596,0.3104238915479637,0.16666666666666652,0.6158798283261803,0.2842377260981912,0.04029330578600671
20210413,0.3392392280875493,0.6613023415780573,0.16666666666666652,0.5429184549356223,0.10335917312661498,0.05237984793021209
20210414,0.34311114762300526,0.620217248000917,0.16666666666666652,0.5,0.0,0.09250912098291467
20210415,0.347058056529214,0.632670316127368,0.16666666666666652,0.5686695278969958,0.0,0.3254111881005315
20210416,0.3507002617897054,0.5820698747528015,0.16666666666666652,0.5622317596566524,0.00904392764857881,0.1376127820409334
20210417,0.3545357653131272,0.6141698432260467,0.16666666666666652,0.5257510729613735,0.0,0.0
20210418,0.35611382126589824,0.23928806855636126,0.16666666666666652,0.5321888412017168,0.0,0.0
20210419,0.357732262748603,0.24599466911237855,0.16666666666666652,0.5815450643776824,0.0,0.1203565384973381
20210420,0.36150943161767607,0.6044825313117995,0.16666666666666652,0.6373390557939915,0.0,0.07524982566753693
20210421,0.3648750650332158,0.5361411252185376,0.16666666666666652,0.7296137339055795,0.0,0.041967202608654525
20210422,0.36831913957420365,0.5491674070677252,0.16666666666666652,0.7682403433476395,0.0,0.11451700755767111
20210423,0.37229081482035037,0.6367831245880026,0.16666666666666652,0.7274678111587983,0.0,0.12330760181092139
20210424,0.37655312781183176,0.6850477200424178,0.16666666666666652,0.7124463519313304,0.0,0.0
20210425,0.37844020210368917,0.2906050270843484,0.16666666666666652,0.7103004291845494,0.0,0.0
20210426,0.38000962866972227,0.23785503424951993,0.16666666666666652,0.6673819742489271,0.0,0.07486759125179102
20210427,0.3842061857342603,0.674127998624287,0.16666666666666652,0.6502145922746781,0.021963824289405683,0.091480673892245
20210428,0.38807983114706385,0.6205038548622853,0.16666666666666652,0.6309012875536482,0.060723514211886306,0.12362422313334565
20210429,0.3914695405516025,0.5401392909346249,0.16666666666666652,0.6330472103004292,0.050387596899224806,0.32600552065515437
20210430,0.3951381517355121,0.5864549597317359,0.16666666666666652,0.5622317596566524,0.3397932816537468,0.0
20210501,0.3981667213050671,0.4801668051933163,0.16666666666666652,0.5386266094420601,0.10335917312661498,0.0
20210502,0.3994478400601848,0.1899773580579519,0.16666666666666652,0.5858369098712446,0.021963824289405683,0.0
20210503,0.4009227748414372,0.22216330858960764,0.16666666666666652,0.6223175965665236,0.0,0.06813004209919174
20210504,0.40453236102005913,0.5766530050729414,0.16666666666666652,0.6158798283261803,0.2532299741602067,0.07899434964454488
20210505,0.4077178128405102,0.5062193688916912,0.16666666666666652,0.6180257510729614,0.0012919896640826874,0.0
20210506,0.40917816395817547,0.21974148061104584,0.16666666666666652,0.6566523605150214,0.0,0.08178290611071523
20210507,0.41266115703335143,0.5556303917915795,0.16666666666666652,0.628755364806867,0.11369509043927649,0.2048425514643164
20210508,0.41592410074670944,0.5190880169671261,0.16666666666666652,0.6266094420600858,0.0,0.0
20210509,0.41735701041454804,0.2151844315152905,0.16666666666666652,0.6566523605150214,0.0,0.0
20210510,0.4187625649264271,0.21064171276260354,0.16666666666666652,0.6030042918454936,0.0,0.12494792914396277
20210511,0.42240632347653145,0.5823278209280329,0.16666666666666652,0.7167381974248928,0.0,0.284460225495417
20210512,0.42562120150575894,0.5111060158780201,0.16666666666666652,0.7918454935622318,0.0,0.04935935680857914
20210513,0.42903964676813505,0.5449112951764065,0.16666666666666652,0.8111587982832618,0.0,0.35218972254816844
20210514,0.432503310017018,0.5524203949442549,0.16666666666666652,0.8369098712446352,0.0,0.0
20210515,0.4357654770855696,0.5189590438795104,0.16666666666666652,0.7939914163090129,0.19379844961240308,0.0
20210516,0.4372773456420605,0.22829669542288844,0.16666666666666652,0.7145922746781116,0.8643410852713178,0.0
20210517,0.43871724511315674,0.21634518930383193,0.16666666666666652,0.648068669527897,0.040051679586563305,0.07515064308460885
20210518,0.4423160445583562,0.5748617121893898,0.16666666666666652,0.703862660944206,0.0,0.033191069905410334
20210519,0.44521897025700646,0.4593018256857069,0.16666666666666652,0.7467811158798283,0.0,0.0
20210520,0.4468338736911485,0.24540712504657364,0.16666666666666652,0.721030042918455,0.011627906976744186,0.034316410750171285
20210521,0.45026405491948823,0.5468602218337106,0.16666666666666652,0.6630901287553648,0.08914728682170543,0.11449811612827741
20210522,0.45318579268122733,0.46242584047462093,0.16666666666666652,0.7188841201716738,0.002583979328165375,0.0
20210523,0.45450893654975894,0.19695623513226906,0.16666666666666652,0.7381974248927039,0.0,0.0
20210524,0.4560030285695696,0.22534464475079533,0.16666666666666652,0.7360515021459227,0.0,0.10987522831067648
20210525,0.4593783268982558,0.5377461236421999,0.16666666666666652,0.648068669527897,0.10723514211886305,0.09049189983474656
20210526,0.4625478143532417,0.5035682554240348,0.16666666666666652,0.7060085836909871,0.0,0.03674790991780053
20210527,0.46567467263774204,0.4964890659482388,0.16666666666666652,0.6587982832618027,0.11498708010335917,0.1646873383514634
20210528,0.4688470940842188,0.5040554870883608,0.16666666666666652,0.648068669527897,0.15891472868217055,0.07858464928275734
20210529,0.4715338536450832,0.4234043162993322,0.16666666666666652,0.6502145922746781,0.0038759689922480615,0.0
20210530,0.4727440388412149,0.17819781605571638,0.16666666666666652,0.7145922746781116,0.23385012919896642,0.0
20210531,0.4739128029810044,0.1713192513828781,0.16666666666666652,0.7467811158798283,0.05167958656330749,0.02333308410530444
20210601,0.47712673177769077,0.5109483821042675,0.16666666666666652,0.7532188841201717,0.041343669250646,0.011217550129166242
20210602,0.48022882372225323,0.4923762574876042,0.16666666666666652,0.8175965665236051,0.0,0.07157778127036105
20210603,0.48350574704212673,0.5214095325442091,0.16666666666666652,0.7296137339055795,0.23385012919896642,0.2536335157784231
20210604,0.4868712078699317,0.5361124645324008,0.16666666666666652,0.7167381974248928,0.0,0.12847654026736574
